Activity,Organization,Role,City,Country,Start,End,Latitude,Longitude,State/Province,Description
Work,Innovation Credit Union,Developer,Saskatoon,Canada,2021,Present,52.1579,-106.6702,Saskatchewan,Innovation Credit Union - Developer - Saskatoon - Canada - 2021 - Present
Work,Fluid Energy Group,Quality Assurance Specialist,Calgary,Canada,2020,2021,51.0447,-114.0719,Alberta,Fluid Energy Group - Quality Assurance Specialist - Calgary - Canada - 2020 - 2021
Education,TechnipFMC,Apollo Root Cause Analysis,Houston,United States,2019,2019,29.7604,-95.3698,Texas,TechnipFMC - Apollo Root Cause Analysis - Houston - United States - 2019 - 2019
Work,TechnipFMC,Quality Manager,Calgary,Canada,2018,2019,51.0547,-114.0819,Alberta,TechnipFMC - Quality Manager - Calgary - Canada - 2018 - 2019
Work,Nabors Industries (Tesco Corporation),Quality Specialist/Engineer,Calgary,Canada,2014,2018,51.0647,-114.0919,Alberta,Nabors Industries (Tesco Corporation) - Quality Specialist/Engineer - Calgary - Canada - 2014 - 2018
Education,Nabors Industries (Tesco Corporation),Taproot Root Cause Analysis,Calgary,Canada,2014,2014,51.0747,-114.0619,Alberta,Nabors Industries (Tesco Corporation) - Taproot Root Cause Analysis - Calgary - Canada - 2014 - 2014
Work,Bureau Veritas (TH Hill Associates),QA/QC Representative,Edmonton,Canada,2013,2014,53.5461,-113.4938,Alberta,Bureau Veritas (TH Hill Associates) - QA/QC Representative - Edmonton - Canada - 2013 - 2014
Work,Consultant,Consultant,San Cristobal,Venezuela,2011,2013,7.7714,-72.2261,Tachira,Consultant - Consultant - San Cristobal - Venezuela - 2011 - 2013
Education,Schlumberger,Management Training,Bogota,Colombia,2010,2010,4.711,-74.0721,,Schlumberger - Management Training - Bogota - Colombia - 2010 - 2010
Work,Schlumberger,Field Engineer,Ciudad Ojeda,Venezuela,2009,2010,10.2215,-71.3112,Zulia,Schlumberger - Field Engineer - Ciudad Ojeda - Venezuela - 2009 - 2010
Education,Schlumberger,Lean Six Sigma,Paris,France,2009,2009,48.8566,-2.3522,,Schlumberger - Lean Six Sigma - Paris - France - 2009 - 2009
Education,Schlumberger,Jack-Up Training,Aberdeen,Scotland,2008,2008,57.1497,-2.0943,,Schlumberger - Jack-Up Training - Aberdeen - Scotland - 2008 - 2008
Education,Schlumberger,Drilling and Production Training,Paris,France,2008,2008,48.8766,-2.3622,,Schlumberger - Drilling and Production Training - Paris - France - 2008 - 2008
Work,Schlumberger,Field Engineer,Muscat,Oman,2007,2008,23.588,58.3829,,Schlumberger - Field Engineer - Muscat - Oman - 2007 - 2008
Education,Schlumberger,Drilling and Production Training,Paris,France,2007,2007,48.8866,-2.3722,,Schlumberger - Drilling and Production Training - Paris - France - 2007 - 2007
Education,Schlumberger,Field Engineering Training,Rio de Janeiro,Brazil,2007,2007,-22.9068,-43.1729,,Schlumberger - Basic Training - Rio de Janeiro - Brazil - 2007 - 2007
Work,UF Hurricane Research,Research Assistant,Gainesville,United States,2005,2006,29.6516,-82.3248,Florida,UF Hurricane Research - Research Assistant - Gainesville - United States - 2005 - 2006
Education,University of Florida,BS Mechanical Engineering,Gainesville,United States,2003,2005,29.6616,-82.3348,Florida,University of Florida - BS Mechanical Engineering - Gainesville - United States - 2003 - 2005
Education,Santa Fe College,AA Engineering,Gainesville,United States,2001,2002,29.6716,-82.3448,Florida,Santa Fe College - AA Engineering - Gainesville - United States - 2001 - 2002
Work,Body Care,Sales Representative,San Cristobal,Venezuela,1998,2000,7.7814,-72.2361,Tachira,Body Care - Sales Representative - San Cristobal - Venezuela - 1998 - 2000
Education,Liceo Simon Bolivar,Secondary Education,San Cristobal,Venezuela,1995,2000,7.7914,-72.2461,Tachira,Liceo Simon Bolivar - Secondary Education - San Cristobal - Venezuela - 1995 - 2000
